#"Step","Potential Energy (kJ/mole)","Temperature (K)"
219,0.0,134.435821247
220,0.0,158.279793202
221,0.0,162.598776307
222,0.0,143.576030294
223,0.0,126.443469977
224,0.0,126.755721357
225,0.0,129.816053812
226,0.0,138.44365151
227,0.0,115.52562117
228,0.0,127.391668057
229,0.0,144.665620368
230,0.0,171.689286904
231,0.0,167.063319215
232,0.0,175.541856137
233,0.0,179.466177387
234,0.0,160.721230897
235,0.0,161.695492897
236,0.0,149.82439163
237,0.0,149.539851809
238,0.0,156.64058335
239,0.0,130.027744152
240,0.0,113.654847859
241,0.0,113.687113428
242,0.0,110.303368336
243,0.0,108.149861911
244,0.0,92.9200707773
245,0.0,72.1508159479
246,0.0,86.4052109006
247,0.0,97.8296600188
248,0.0,84.6193750744
249,0.0,78.9331830781
250,0.0,69.9806351402
251,0.0,56.6648469778
252,0.0,76.4887527042
253,0.0,65.9778842759
254,0.0,64.6755494313
255,0.0,67.8228369829
256,0.0,63.8530688921
257,0.0,41.4382033705
258,0.0,39.8553219117
259,0.0,24.8814475596
260,0.0,30.4051996903
261,0.0,23.1468759868
262,0.0,25.311681386
263,0.0,23.4967057213
264,0.0,33.1988561693
265,0.0,26.1083138044
266,0.0,32.4512461623
267,0.0,34.7414816869
268,0.0,42.4948790146
269,0.0,49.9972762707
270,0.0,40.9138779419
271,0.0,46.3492594873
272,0.0,37.4942790668
273,0.0,52.6545078735
274,0.0,68.4055481654
275,0.0,64.2872326484
276,0.0,82.9912401212
277,0.0,75.0634185369
278,0.0,67.3749448667
279,0.0,78.1406154535
280,0.0,84.4511002158
281,0.0,84.2693382787
282,0.0,95.4737850947
283,0.0,104.715818059
284,0.0,103.017566049
285,0.0,99.6904053426
286,0.0,111.519421939
287,0.0,115.811256692
288,0.0,102.756745175
289,0.0,131.830727701
290,0.0,103.113484519
291,0.0,67.9063799295
292,0.0,55.858366104
293,0.0,47.4018068156
294,0.0,53.5759047361
295,0.0,66.0873729104
296,0.0,62.0689217534
297,0.0,47.6755039359
298,0.0,58.5490733469
299,0.0,83.0439052546
300,0.0,95.3097672532
301,0.0,101.69445247
302,0.0,80.7090651983
303,0.0,89.7610575087
304,0.0,124.723588133
305,0.0,126.117741084
306,0.0,127.056755511
307,0.0,146.740392815
308,0.0,126.869417017
309,0.0,93.3153913017
310,0.0,84.9721346603
311,0.0,75.5529396391
312,0.0,86.3734418884
313,0.0,100.821497501
314,0.0,82.6076160499
315,0.0,85.1067287998
316,0.0,84.1618540819
317,0.0,97.9281381709
318,0.0,96.1037806526
319,0.0,98.607964392
320,0.0,83.4894516684
321,0.0,71.6572626754
322,0.0,79.1968165079
323,0.0,94.9756327647
324,0.0,88.2586947599
325,0.0,62.8550967915
326,0.0,77.9485949392
327,0.0,77.8030943577
328,0.0,70.1464291772
329,0.0,85.5412362536
330,0.0,81.3577729117
331,0.0,78.4256922174
332,0.0,77.0568846245
333,0.0,85.0520743205
334,0.0,90.3367034613
335,0.0,77.3456120582
336,0.0,94.3933749186
337,0.0,73.8211725754
338,0.0,75.9087939372
339,0.0,64.2827156009
340,0.0,54.7913180523
341,0.0,54.8412277039
342,0.0,60.737701462
343,0.0,75.4445567263
344,0.0,71.8241489579
345,0.0,82.3917115225
346,0.0,76.1207451859
347,0.0,74.3776709987
348,0.0,71.8798451853
349,0.0,79.9652186445
350,0.0,73.3650477947
351,0.0,62.5656720536
352,0.0,64.5739015765
353,0.0,60.917854432
354,0.0,71.5419056543
355,0.0,83.588008428
356,0.0,106.114400882
357,0.0,115.398303622
358,0.0,104.050213143
359,0.0,93.5468189105
360,0.0,89.0586083898
361,0.0,71.834077559
362,0.0,76.1418535757
363,0.0,78.0591777482
364,0.0,90.7663560223
365,0.0,89.2719783587
366,0.0,87.2244905069
367,0.0,95.4105570263
368,0.0,76.3500407484
369,0.0,98.4649371237
370,0.0,107.062908934
371,0.0,109.162290408
372,0.0,112.596539455
373,0.0,90.7281194703
374,0.0,94.3842662394
375,0.0,86.5637263858
376,0.0,75.92289866
377,0.0,68.8136192591
378,0.0,103.519625461
379,0.0,120.610515602
380,0.0,136.04100534
381,0.0,139.109336673
382,0.0,156.436043068
383,0.0,161.593091372
384,0.0,165.668094683
385,0.0,145.732060678
386,0.0,141.434921132
387,0.0,160.492287488
388,0.0,150.095345858
389,0.0,146.534004277
390,0.0,127.698296409
391,0.0,129.532983844
392,0.0,145.274611452
393,0.0,143.753663171
394,0.0,160.370097289
395,0.0,168.831301118
396,0.0,159.879622478
397,0.0,172.131586641
398,0.0,172.173391161
399,0.0,180.043599063
400,0.0,181.328006727
401,0.0,174.208386369
402,0.0,166.530851332
403,0.0,144.310562055
404,0.0,144.108107071
405,0.0,163.309990695
406,0.0,137.694141718
407,0.0,149.143905552
408,0.0,159.616053131
409,0.0,119.044562049
410,0.0,134.748704551
411,0.0,136.727558313
412,0.0,132.358565627
413,0.0,150.414868436
