#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
151,-530.281142083,99.0702021626,-431.21093992,3971.79746943
152,-537.574460733,103.52817723,-434.046283503,4150.52097766
153,-531.530235421,97.0766462927,-434.453589128,3891.87434435
154,-525.208871029,92.0338961285,-433.174974901,3689.70677122
155,-522.293725861,87.7590096217,-434.534716239,3518.32341841
156,-514.841004951,79.7139355049,-435.127069446,3195.79046379
157,-501.918157604,65.8794500734,-436.03870753,2641.15573984
158,-484.284976661,47.5527304471,-436.732246214,1906.42403398
159,-465.590852079,28.7642213962,-436.826630683,1153.17884952
160,-452.266624244,14.8452104004,-437.421413844,595.155433364
161,-450.633934943,13.3803366237,-437.25359832,536.427563306
162,-461.159148164,23.7007245883,-437.458423576,950.179528138
163,-479.093145426,40.7405293574,-438.352616069,1633.31786827
164,-498.144185787,59.7338005477,-438.41038524,2394.77211791
165,-513.642100585,75.2064094243,-438.435691161,3015.08041889
166,-523.870504772,85.4672665693,-438.403238202,3426.44574927
167,-529.451994091,94.1779293788,-435.274064712,3775.66264546
168,-534.00129066,99.611439152,-434.389851508,3993.4960595
169,-544.513118039,109.140076787,-435.373041251,4375.50616971
170,-542.628867638,109.152387421,-433.476480217,4375.9997121
171,-535.785377215,99.954288169,-435.831089046,4007.24112945
172,-530.050741842,95.7042412626,-434.34650058,3836.85361454
173,-525.186063951,91.0927713849,-434.093292567,3651.97638616
174,-521.210633568,84.7804834335,-436.430150135,3398.91210685
175,-517.94458378,81.4223453993,-436.522238381,3264.28187642
176,-515.341675971,79.4211241052,-435.920551866,3184.05143883
177,-513.294829379,77.9909682914,-435.303861087,3126.7154375
178,-511.808784285,77.8342644682,-433.974519817,3120.43306566
179,-510.874351257,75.9947723977,-434.879578859,3046.68647192
180,-510.487315969,74.5977945784,-435.88952139,2990.68060087
181,-510.593561874,74.642981221,-435.950580653,2992.49216669
182,-511.218095408,73.3862754767,-437.831819932,2942.10990658
183,-512.286083368,74.5611590002,-437.724924368,2989.21185352
184,-513.91816564,76.2117341806,-437.706431459,3055.38462981
185,-516.098060738,76.9860598324,-439.112000906,3086.42791626
186,-518.876325182,81.1013883,-437.774936882,3251.4144696
187,-522.235984681,83.1434743202,-439.09251036,3333.2832042
188,-526.216464934,86.2943273195,-439.922137615,3459.60322471
189,-530.848891738,89.7492952453,-441.099596492,3598.1154369
190,-536.263091965,95.3684763571,-440.894615608,3823.39255185
191,-542.379314289,98.5743721903,-443.804942099,3951.91928017
192,-541.572706429,96.2857818587,-445.28692457,3860.16800593
193,-532.675319954,90.6527443993,-442.022575555,3634.33537979
194,-528.616028729,85.8882544526,-442.727774276,3443.32346399
195,-525.456876382,83.4727896388,-441.984086743,3346.48569819
196,-519.685539024,78.4236158347,-441.261923189,3144.06059659
197,-511.101451514,70.292674093,-440.808777421,2818.08514556
198,-500.521129067,59.1993122504,-441.321816816,2373.34408789
